date,code,open,high,low,close,volume,pctChg
20100701,sh.600048,10.2500,10.4300,10.0800,10.1200,18104834,-1.075300
20100702,sh.600048,10.2400,10.6900,10.0600,10.5100,24415115,3.853800
20100705,sh.600048,10.3000,10.9700,10.2300,10.7900,26043098,2.664100
20100706,sh.600048,10.5600,11.1000,10.5600,10.9500,21787700,1.482900
20100707,sh.600048,10.9300,11.0500,10.8200,10.9100,14270405,-0.365300
20100708,sh.600048,10.9100,11.2200,10.9100,11.0000,19486663,0.824900
20100709,sh.600048,10.9900,11.5800,10.9000,11.4200,32929826,3.818200
20100712,sh.600048,11.5000,12.0700,11.4800,11.8400,48846671,3.677800
20100713,sh.600048,11.5700,11.6600,11.3100,11.3300,30185186,-4.307400
20100714,sh.600048,11.2700,11.6900,11.1800,11.3100,29473968,-0.176500
20100715,sh.600048,11.3400,11.7200,11.1800,11.2300,35142589,-0.707300
20100716,sh.600048,11.2300,11.4100,10.8000,11.2600,36145599,0.267148
20100719,sh.600048,11.1000,11.6500,10.9800,11.5900,51153012,2.930700
20100720,sh.600048,11.6800,12.0300,11.6200,11.9300,87786023,2.933600
20100721,sh.600048,11.9800,12.1100,11.7500,11.8200,45981690,-0.922000
20100722,sh.600048,11.7600,12.4100,11.7000,12.3500,79423599,4.483900
20100723,sh.600048,12.4500,12.5500,12.2100,12.3800,50813839,0.242900
20100726,sh.600048,12.3800,12.5200,12.1000,12.4800,43630477,0.807800
20100727,sh.600048,12.4000,12.6600,12.3000,12.4700,35728920,-0.080100
20100728,sh.600048,12.4400,13.1300,12.4100,13.0000,53124581,4.250200
20100729,sh.600048,13.0500,13.2800,12.9500,13.1300,48755052,1.000000
20100730,sh.600048,13.0800,13.2300,12.9300,13.1500,26348757,0.152300
20100802,sh.600048,13.1600,13.4900,13.1500,13.4800,36607189,2.509500
20100803,sh.600048,13.4700,13.8200,13.2500,13.3000,39549482,-1.335300
20100804,sh.600048,13.2500,13.3800,12.7200,13.0900,48881799,-1.578900
20100805,sh.600048,13.0000,13.0000,12.4000,12.5000,70395201,-4.507300
20100806,sh.600048,12.4500,12.8100,12.0500,12.6600,65259176,1.280000
20100809,sh.600048,12.5500,12.8000,12.3200,12.6100,42556890,-0.394900
20100810,sh.600048,12.6500,12.8300,12.1000,12.2700,46360112,-2.696300
20100811,sh.600048,12.2000,12.6900,12.1200,12.5800,45741766,2.526500
20100812,sh.600048,12.3300,12.9800,12.3100,12.5600,58232130,-0.159000
20100813,sh.600048,12.4400,12.9000,12.2500,12.8600,41794473,2.388500
20100816,sh.600048,12.7200,13.1800,12.6100,12.9700,39739091,0.855400
20100817,sh.600048,12.9900,13.5500,12.8800,13.2900,57623847,2.467200
20100818,sh.600048,13.3000,13.5800,13.0300,13.1600,37831030,-0.978200
20100819,sh.600048,13.1700,13.2300,12.6800,12.8700,48997247,-2.203600
20100820,sh.600048,12.7200,12.7800,12.4000,12.5000,46430909,-2.874900
20100823,sh.600048,12.4000,12.5500,12.2300,12.3100,31071706,-1.520000
20100824,sh.600048,12.3400,12.7100,12.1100,12.5900,46071106,2.274600
20100825,sh.600048,12.4400,12.6000,12.0700,12.1400,34562250,-3.574300
20100826,sh.600048,12.1700,12.2800,12.0400,12.1400,30032038,0.000000
20100827,sh.600048,12.1000,12.2000,11.9600,12.0700,17526225,-0.576600
20100830,sh.600048,12.1600,12.2300,11.9000,12.1100,38035683,0.331400
20100831,sh.600048,12.1000,12.1100,11.7800,12.0000,37410924,-0.908300
20100901,sh.600048,12.0100,12.2100,11.7900,11.8500,41952290,-1.250000
20100902,sh.600048,11.9700,12.0000,11.7300,11.8300,32949964,-0.168800
20100903,sh.600048,11.8700,11.9200,11.6300,11.7700,33829445,-0.507200
20100906,sh.600048,11.7800,12.0200,11.7100,12.0000,39233797,1.954100
20100907,sh.600048,12.1000,12.3500,12.0200,12.1400,50961968,1.166700
20100908,sh.600048,12.1400,12.1500,11.6900,11.8000,41106607,-2.800660
20100909,sh.600048,11.7900,11.8000,11.2700,11.3200,50237340,-4.067800
20100910,sh.600048,11.3200,11.4000,11.0100,11.1200,33009750,-1.766800
20100913,sh.600048,11.1700,11.5900,11.0300,11.4200,37718119,2.697800
20100914,sh.600048,11.3800,11.4400,11.1300,11.3900,28584112,-0.262700
20100915,sh.600048,11.3100,11.4100,11.1000,11.1500,23749602,-2.107100
20100916,sh.600048,11.1600,11.3000,10.8300,10.9400,23943778,-1.883400
20100917,sh.600048,10.9900,11.2000,10.9700,11.0100,19855250,0.639900
20100920,sh.600048,11.0100,11.0900,10.7600,10.8000,22804117,-1.907400
20100921,sh.600048,10.8600,10.9300,10.7600,10.7800,11137663,-0.185200
20100927,sh.600048,10.8000,11.3200,10.5000,11.2600,48189342,4.452700
20100928,sh.600048,11.1000,11.5800,11.0600,11.1900,47414829,-0.621700
20100929,sh.600048,11.1300,11.5700,11.1100,11.3500,39311089,1.429800
20100930,sh.600048,11.2000,12.4900,11.2000,12.3600,126877708,8.898700
20101008,sh.600048,12.1900,12.9900,11.9800,12.7200,132115918,2.912600
20101011,sh.600048,12.6200,13.5300,12.5000,13.4200,95811436,5.503100
20101012,sh.600048,13.2800,14.0800,13.1500,13.6400,76658641,1.639300
20101013,sh.600048,13.6400,15.0000,13.4600,15.0000,128072429,9.970700
20101014,sh.600048,14.9900,15.6000,14.7100,14.9800,103909468,-0.133300
20101015,sh.600048,14.7800,15.7000,14.5800,15.5300,95758490,3.671600
20101018,sh.600048,15.2700,16.1500,15.1500,15.6100,110788787,0.515100
20101019,sh.600048,15.5000,15.5000,14.7100,15.1600,61982986,-2.882800
20101020,sh.600048,14.4900,14.6900,13.6400,13.9800,148395722,-7.783600
20101021,sh.600048,13.8000,14.3000,13.5500,13.8800,84878921,-0.715300
20101022,sh.600048,13.9100,14.2600,13.6400,14.0400,57288377,1.152700
20101025,sh.600048,13.9500,14.2400,13.5500,14.1600,82093310,0.854700
20101026,sh.600048,14.2400,14.9800,14.0400,14.6300,93474170,3.319200
20101027,sh.600048,14.4900,15.6000,14.3300,14.7900,80658392,1.093600
20101028,sh.600048,14.8000,15.4000,14.7600,15.0000,61625348,1.419900
20101029,sh.600048,14.9000,14.9000,14.1800,14.2600,44196289,-4.933300
20101101,sh.600048,14.1000,14.4600,14.0000,14.1900,59257739,-0.490900
20101102,sh.600048,14.2000,14.7800,13.8200,14.4400,78470820,1.761800
20101103,sh.600048,14.3500,14.8200,14.0600,14.5800,71278434,0.969500
20101104,sh.600048,14.4000,14.7700,14.1600,14.5200,43468324,-0.411500
20101105,sh.600048,14.6900,14.8800,14.5100,14.7700,43357160,1.721800
20101108,sh.600048,14.9000,15.4900,14.8000,15.0900,53292949,2.166600
20101109,sh.600048,14.9300,15.0000,14.2400,14.4700,60920052,-4.108700
20101110,sh.600048,14.2600,14.2700,13.7000,13.8000,92080338,-4.630300
20101111,sh.600048,13.8800,14.0700,13.4900,13.9400,69734509,1.014500
20101112,sh.600048,13.7900,13.8900,12.8800,12.9200,49479713,-7.317100
20101115,sh.600048,12.9300,13.0900,12.6100,12.9500,29253595,0.232200
20101116,sh.600048,12.9300,12.9300,12.1100,12.2400,40800993,-5.482600
20101117,sh.600048,12.1000,12.4700,12.0200,12.3100,27200954,0.571900
20101118,sh.600048,12.4200,12.6700,12.3000,12.3800,33713749,0.568600
20101119,sh.600048,12.4500,12.4800,11.9600,12.4000,32401165,0.161600
20101122,sh.600048,12.2300,12.5300,12.0500,12.2500,36523286,-1.209700
20101123,sh.600048,12.1700,12.1700,11.7800,11.9300,29592680,-2.612200
20101124,sh.600048,11.8400,12.2500,11.8300,12.1600,24677914,1.927900
20101125,sh.600048,12.2000,12.9800,12.0000,12.8700,58752350,5.838800
